"track_name","track_artist","track_popularity","track_album_name","track_album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"i don't care (with justin bieber) - loud luxury remix","ed sheeran",66,"i don't care (with justin bieber) [loud luxury remix]",2019-06-14,0.748,0.916,6,-2.634,1,0.0583,0.102,0,0.0653,0.518,122.036,194754
"memories - dillon francis remix","maroon 5",67,"memories (dillon francis remix)",2019-12-13,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600
"all the time - don diablo remix","zara larsson",70,"all the time (don diablo remix)",2019-07-05,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616
"call you mine - keanu silva remix","the chainsmokers",60,"call you mine - the remixes",2019-07-19,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093
"someone you loved - future humans remix","lewis capaldi",69,"someone you loved (future humans remix)",2019-03-05,0.65,0.833,1,-4.672,1,0.0359,0.0803,0,0.0833,0.725,123.976,189052
"beautiful people (feat. khalid) - jack wins remix","ed sheeran",67,"beautiful people (feat. khalid) [jack wins remix]",2019-07-11,0.675,0.919,8,-5.385,1,0.127,0.0799,0,0.143,0.585,124.982,163049
"never really over - r3hab remix","katy perry",62,"never really over (r3hab remix)",2019-07-26,0.449,0.856,5,-4.788,0,0.0623,0.187,0,0.176,0.152,112.648,187675
"post malone (feat. rani) - gattÜso remix","sam feldt",69,"post malone (feat. rani) [gattÜso remix]",2019-08-29,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619
"tough love - tiësto remix / radio edit","avicii",68,"tough love (tiësto remix)",2019-06-14,0.594,0.935,8,-3.562,1,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187
"if i can't have you - gryffin remix","shawn mendes",67,"if i can't have you (gryffin remix)",2019-06-20,0.642,0.818,2,-4.552,1,0.032,0.0567,0,0.0919,0.59,124.957,253040
"cross me (feat. chance the rapper & pnb rock) - m-22 remix","ed sheeran",58,"cross me (feat. chance the rapper & pnb rock) [m-22 remix]",2019-06-21,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894
"hate me - r3hab remix","ellie goulding",67,"hate me (r3hab remix)",2019-08-16,0.437,0.774,8,-4.918,1,0.0554,0.148,0,0.133,0.329,123.125,203733
"body on my","loud luxury",67,"body on my",2019-03-29,0.744,0.726,1,-4.675,1,0.0463,0.0399,0,0.374,0.687,121.985,192507
"sos - laidback luke tribute remix / radio edit","avicii",68,"sos (laidback luke tribute remix)",2019-05-17,0.572,0.915,5,-4.451,0,0.0625,0.0111,0,0.339,0.678,123.919,164516
"summer days (feat. macklemore & patrick stump of fall out boy) - tiësto remix","martin garrix",63,"summer days (feat. macklemore & patrick stump of fall out boy) [remixes]",2019-07-12,0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
"south of the border (feat. camila cabello & cardi b) - andy jarvis remix","ed sheeran",66,"south of the border (feat. camila cabello & cardi b) [andy jarvis remix]",2019-12-11,0.805,0.835,0,-4.603,1,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230
"all my friends - eden prince remix","aj mitchell",60,"all my friends (eden prince remix)",2019-05-03,0.694,0.901,1,-4.322,0,0.0948,0.0702,0,0.427,0.368,118.051,173548
